Id,mass,width,height,color,Type
1,192,8.4,7.3,0.55,1
2,180,8,6.8,0.59,1
3,176,7.4,7.2,0.6,1
4,86,6.2,4.7,0.8,2
5,84,6,4.6,0.79,2
6,80,5.8,4.3,0.77,2
7,80,5.9,4.3,0.81,2
8,76,5.8,4,0.81,2
9,178,7.1,7.8,0.92,1
10,172,7.4,7,0.89,1
11,166,6.9,7.3,0.93,1
12,172,7.1,7.6,0.92,1
13,154,7,7.1,0.88,1
14,164,7.3,7.7,0.7,1
15,152,7.6,7.3,0.69,1
16,156,7.7,7.1,0.69,1
17,156,7.6,7.5,0.67,1
18,168,7.5,7.6,0.73,1
19,162,7.5,7.1,0.83,1
20,162,7.4,7.2,0.85,1
21,160,7.5,7.5,0.86,1
22,156,7.4,7.4,0.84,1
23,140,7.3,7.1,0.87,1
24,170,7.6,7.9,0.88,1
25,342,9,9.4,0.75,3
26,356,9.2,9.2,0.75,3
27,362,9.6,9.2,0.74,3
28,204,7.5,9.2,0.77,3
29,140,6.7,7.1,0.72,3
30,160,7,7.4,0.81,3
31,158,7.1,7.5,0.79,3
32,210,7.8,8,0.82,3
33,164,7.2,7,0.8,3
34,190,7.5,8.1,0.74,3
35,142,7.6,7.8,0.75,3
36,150,7.1,7.9,0.75,3
37,160,7.1,7.6,0.76,3
38,154,7.3,7.3,0.79,3
39,158,7.2,7.8,0.77,3
40,144,6.8,7.4,0.75,3
41,154,7.1,7.5,0.78,3
42,180,7.6,8.2,0.79,3
43,154,7.2,7.2,0.82,3
44,194,7.2,10.3,0.7,4
45,200,7.3,10.5,0.72,4
46,186,7.2,9.2,0.72,4
47,216,7.3,10.2,0.71,4
48,196,7.3,9.7,0.72,4
49,174,7.3,10.1,0.72,4
50,132,5.8,8.7,0.73,4
51,130,6,8.2,0.71,4
52,116,6,7.5,0.72,4
53,118,5.9,8,0.72,4
54,120,6,8.4,0.74,4
55,116,6.1,8.5,0.71,4
56,116,6.3,7.7,0.72,4
57,116,5.9,8.1,0.73,4
58,152,6.5,8.5,0.72,4
59,118,6.1,8.1,0.7,4
